location,company,title,salary
,Alliant Energy,Senior Data Warehouse/Data Modeling Analyst,
,"Paulson Investment Company, LLC",Investment Banking Analyst (Life Science),"$40,000 - $90,000 a year"
,Comerica Bank,Technical Data Analytics Principal Engineer,
,Mid-Delta Durable Medical Equipment,DME Billing Analyst,
,"Suracy Insurance Agency, Inc.",Senior Data Analyst,
,InterVarsity Christian Fellowship,Data Quality Analyst,"$43,000 - $58,000 a year"
,Collection Experts Inc,Data Analyst/Helpdesk,
,Bath Community Hospital,Revenue Integrity Analyst,
,DTSV,Data Analyst,
,Soaren Management,Data Scientist,
,SubjectWell,Data Scientist,
,Global Fishing Watch,Data Scientist,$45 - $65 an hour
"Lansing, MI 48917",Pearson,Data Scientist,
,Amida Technology Solutions,Data Scientist,
,Brinks Home Security™,Data Scientist,"$90,000 - $98,000 a year"
,Blue Owl,Data Scientist,"$250,000 - $375,000 a year"
"Ypsilanti, MI 48198 (Depot Town area)",Methods Consultants,Assistant Data Scientist,
,Pathrise,Data Scientist Entry Level - Pathrise Recruiting Partners,
,Pathrise,Junior Data Scientist - Pathrise Recruiting Partners,
"Bloomington, IN",DataSprouts,Junior Data Scientist,
"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,Remote Sensing Data Scientist,
"Alpharetta, GA",Quest America,Data Scientist,$65 - $70 an hour
"Dearborn, MI",Ford Motor Company,Data Scientist,
"Chicago, IL",Cloudbigdata Technologies,Entry level Data Scientist,
,"Curative Inc,",Sr. Data Scientist,
,Lyteworx Automation Systems,Data Scientist,"$160,000 - $175,000 a year"
,HP,Data Scientist (Sales and Marketing),
,Intuit,Staff Data Scientist,
,Specific Diagnostics,"Data Scientist, Medical Diagnostics",
,Intuit,Staff Data Scientist - Analytics,
"Alvin, TX","RiceTec, Inc.",Data Scientist - Production Research,
,Northrop Grumman,Data Scientist,
,"Skafos, LLC",Machine Learning Engineer,
,SullivanCotter,Data Scientist Architect,
,National Geospatial-Intelligence Agency,Data Scientist (Mid-Level),"$64,948 - $133,465 a year"
,Aegis Premier Technologies,Data Scientist / Predictive Analytics Professional,
,Intuit,Senior Data Scientist,
,"ENSCO, Inc.",Data Scientist,
,Johns Hopkins Applied Physics Laboratory (APL),Data Scientist,
,Blackwatch International Corporation,Data Scientist,
,GEICO,Senior Data Scientist,
,Perspecta Labs,Machine Learning Research Scientist,
"Oakland, CA",Global Fishing Watch,Data Scientist,$45 - $65 an hour
"Redmond, WA",Microsoft,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,
"Denver, CO 80202 (Union Station area)",McKinsey & Company,"Data Scientist, Agriculture and Commodities",
"Washington, DC 20006 (Downtown area)",FARMER MAC,Data Scientist,
,GeneDx,Senior Genomic Data Scientist,
,Northrop Grumman,Sr. Principal Data Scientist,
,Humana,Lead Data Scientist,
,PayPal,Data Scientist,
