location,company,title,salary
"Houston, TX",GTS Geotech,GGRE Data Analyst/Technical Data Manager,
"Houston, TX",Quorum Business Solutions,Product Analyst - Cost Accounting & Financials Software,
"Houston, TX",Systemart LLC,Sales Quality Analyst (867372),
,Gather Resources,Risk Analyst,$18 - $24 an hour
,USAA,Business Intelligence Analyst II - Bank Leadership,
,Idexcel,Big Data Engineer/Architect,
,Unity Search,AR & AP Analyst (Job #103451),
,Moneygram,DevOps Engineer,
,Citi,Apps Dev Senior Programmer Analyst,
,USAA,"Lead, Risk Analyst - Enterprise Operational Risk - IT",
"Irving, TX",ZealNine,Data Analyst,"$50,000 - $60,000 a year"
"Dallas County, TX","Dallas County, TX",DATA ANALYST,$21.53 an hour
"Dallas, TX 75202 (City Center District area)",Trinity Industries,Data Analyst,
"Dallas, TX 75201 (City Center District area)","TEKEDGE SOLUTION, INC.",Data Analyst,"$65,000 - $80,000 a year"
"Plano, TX 75023",Toyota,Data Science Analyst,
"Irving, TX",ADT Security Services,Data Analyst,"$50,000 - $65,000 a year"
"Waco, TX 76712 (West Waco area)",Mars,IE Technician (Data Analyst focus),
"Arlington, TX 76001 (Southwest area)",FirstAmerica,Senior Data Quality Analyst,
"Dallas, TX 75202 (City Center District area)",Trinity Industries,Data Management Analyst,
"Dallas, TX 75202 (City Center District area)",Trinity Industries,Market Intelligence Analyst,
,USAA,Sr. Quantitative Risk Analyst - Credit Card Portfolio,
,USAA,Reporting Analyst I (Enterprise Model Risk Management),
,CommScope,Sales Analyst,
"Fort Worth, TX 76118","SUNSET LOGISTICS, INC",Data/Financial Analyst,"$60,000 - $75,000 a year"
"Irving, TX 75063 (Freeport/Hackberry area)",First American,Data Analyst,
"Arlington, TX 76013 (Central area)",University of Texas at Arlington,Data Analyst {S02268P},
"Frisco, TX",ITRGroup.com,Data Analyst,
"Dallas, TX 75201 (City Center District area)","TEKEDGE SOLUTION, INC.",Business Analyst,"$65,000 - $80,000 a year"
"Dallas, TX 75235 (Love Field area)",WalkerHealthcare,Data Entry Specialist,Up to $15 an hour
"Dallas, TX 75202 (Main Street District area)",Special Counsel,Document Review Analyst - BS/BA or JD Required,$15 - $22 an hour
"Frisco, TX 75034",Evolve Mortgage Services,Business Intelligence / Data Analyst,
"Westlake, TX 76262",Advanced Plan for Health,Data Specialist,
"Grand Prairie, TX","Meridian Technologies, Inc.",Business Analyst,$60 - $65 an hour
,USAA,Quantitative Risk Analyst I - Credit Card Portfolio,
,USAA,Risk Analyst I - Enterprise Risk & Projects,
,Newport Medical Solutions,AR Analyst,$18 - $21 an hour
,SHOEBACCA,Application Support Analyst II,"$45,000 - $52,000 a year"
"Dallas, TX",InspiHER Tech,"DATA ANALYST/BI DEVELOPER, #10666","$60,000 - $70,000 a year"
"Irving, TX",ADT Security Services,NA Data Reporting Analyst,
"Lewisville, TX 75067",EZLynx,Data Conversion Specialist,
"Dallas, TX",CDO Chief Digital Office,Data Analyst,
"The Colony, TX",TXARNG,Cyber Security Analyst,$15 - $25 an hour
"Dallas, TX",Mills College,Business Analyst,"$68,000 - $73,000 a year"
"Plano, TX",LeadsOnline LLC,Data Import Analyst,
"Plano, TX 75074",Community Hospital Corporation,Data Management Analyst,
"Dallas-Fort Worth, TX",Potomac Management,Data Analyst III,
"Plano, TX 75023",Liberty Mutual Insurance,"Senior Analyst or Consultant, Product Research","$95,400 - $136,900 a year"
,CBRE,Senior Benefits Analyst,
"Dallas, TX",The Richards Group,"Analyst, Data Intelligence",
"Dallas, TX",Dash Technologies Inc,Data Analyst with Python,$40 - $55 an hour
"Irving, TX",Dexperts,Data Analyst,
"Dallas, TX 75247 (Northwest Dallas area)",Capgemini,DALLAS Campus Recruiting 2018 - I&D - Data Analyst,
"Irving, TX",Michaels Stores,Space Planning Analyst,
"Dallas, TX",fortisys,Data Analyst,
"Dallas, TX",NS and Associates,340B Analyst,"$70,000 - $120,000 a year"
"Plano, TX","PSG Support Services, LLC",Data Analyst,
"Irving, TX 75062",HireMain LLC,Business Analyst,"$65,000 - $100,000 a year"
"Dallas, TX",Signify Health,Data Quality Analyst,
"Plano, TX 75075","Insight Enterprises, Inc.",Data Analyst II,
"Dallas, TX",ZeniMax Media Inc.,Data Analyst,
"Dallas, TX",Leidos Cyber,NOC Analyst (Network Operations Center) - Work Remotely,"$60,000 - $75,000 a year"
"Dallas, TX 75390 (Near East area)",UT Southwestern Medical Center,Data Scientist,"$50,000 - $95,000 a year"
"Plano, TX 75024",DXC,Helpdesk Analyst,
"Dallas, TX 75201 (City Center District area)",Bestow,VP of Data,
"Plano, TX 75024",Rent A Center Texas LP,Planning and Forecasting Analyst,
"Plano, TX 75024",PepsiCo,eCommerce Data Science Intern,
"Irving, TX 75063",Gather Resources,Risk Analyst,$18 - $24 an hour
"Frisco, TX",MoneyGram,Data & Insights Manager – Customer Analytics,
,"SUNSET LOGISTICS, INC",Data/Financial Analyst,"$60,000 - $75,000 a year"
,Bloomfield Homes,Accounting/Data programming Associate,$13 - $25 an hour
"Dallas, TX (Wolf Creek area)",Mobilityware,Senior Data Analyst,
"Dallas, TX",UT Southwestern,"Population Science Data Analyst I, II and III - Data Science",
"Arlington, TX 76013 (Central area)",University of Texas at Arlington,Business Analytics Analyst II (Data Concierge) (S02257P),
"Grand Prairie, TX","LOFTWALL, Inc.",Operations Analyst,
"Dallas, TX 75201 (Oak Lawn area)",Goldman Sachs,Data Science – Analyst/Associate - Security Incident Response Team,
"Plano, TX",Course5 Intelligence,Business Intelligence Specialist,
"Plano, TX 75023",Altice USA,HR Data Analyst,
"Dallas, TX",HCL Americas,BUSINESS ANALYST,
"Dallas, TX",CAE Inc.,Business Intelligence Analyst,
"Richardson, TX 75082",RealPage,Data Analyst - Contract Renewals,
"Plano, TX 75024",Vergent LMS,Software Quality Assurance Analyst,
"Farmers Branch, TX 75234",Brinks Home Security™,Security Operations Analyst,"$70,000 - $80,000 a year"
"Lewisville, TX",Mary Kay Inc,Analyst Supply Chain I Data Management,
"Dallas, TX 75390 (Near East area)",UT Southwestern,Programmer Analyst I - IR-Enterprise Data Services,
"Dallas County, TX","Dallas County, TX",GIS ANALYST I.8030200,"$4,155 a month"
"Frisco, TX",HCL Technologies,Entry Level IT Support Analyst,"$35,000 - $45,000 a year"
"Dallas, TX 75244",Behavioral Health Group,Revenue Data Analyst,
"McKinney, TX 75070",Paine Insurance Group,Data Entry Team Member,
,Citi,Client Service Sr. Analyst,
,Public Health Institute,Data Analyst (Time-Limited),
,Topcon Positioning Systems,Senior Business Analyst (Bilingual English and Japanese),
,First Republic Bank,SOX BP Senior Analyst,
"San Francisco, CA 94102 (Downtown area)",Intuit,Staff Business Data Analysis,
"Sacramento, CA 95811 (Southside Park area)",Department of General Services,Data and Research Analyst,"$3,298 - $5,360 a month"
"San Francisco, CA",Autodesk,Data Visualization Analyst,
"San Francisco, CA",Showwcase,Data Analyst Intern,$16 an hour
"San Francisco, CA",Chime,"Data Analyst, Product",
"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,Research Data Analyst,
"San Francisco County, CA",Department of Industrial Relations,RESEARCH DATA ANALYST I,"$3,635 - $5,629 a month"
"San Francisco, CA",Mills College,Business Analyst,"$68,000 - $73,000 a year"
"Sunnyvale, CA 94085",Cushman & Wakefield,Data Analyst,
"Modesto, CA 95354",E.&J. Gallo Winery,ANALYST 2-MASTER DATA MGMNT | 202248,
,SELLBYTEL,"Sr. Business Intelligence Analyst, Google Cloud",
,UpNest,Product Analyst (Power BI),"$78,000 - $85,000 a year"
"Oakland, CA",LaunchDarkly,Data Analyst,
"San Francisco, CA","Evolver, LLC.",Market Data Services Analyst,
"San Francisco, CA",Hinge Health,Data Analyst,
"San Jose, CA 95123 (Blossom Valley area)",Polarr,Data Analyst,
"San Francisco, CA",Incedo,Clinical Data Analyst,$65 - $70 an hour
"San Francisco, CA 94103 (South of Market area)",Square,Sales Strategy Analyst,
"San Francisco, CA 94129",Parker Institute for Cancer Immunotherapy,Biological Data Analyst,
"San Francisco, CA",FLYR Inc,"Data Analyst, Data Warehouse","$90,000 - $115,000 a year"
"San Francisco, CA",Autodesk,Business Analyst,
"Salinas, CA 93901",Community Action Partnership of San Luis Obispo,Data Analyst,$14 - $19 an hour
,"delta computer solutions, inc. www.deltacs.com",Systems Analyst - Behavioral Health (myAvatar),$45 - $65 an hour
,Any QA,Software Development Engineer in Test (SDET) - Data Quality,"$115,000 - $135,000 a year"
"San Francisco, CA",Autodesk,Product Analyst,
"San Jose, CA 95112 (Downtown area)",Tommy Energy Solutions Corp.,Data Analyst,
"West Sacramento, CA 95605",CalSTRS,Benefit Adjustment Team Analyst,"$3,298 - $5,360 a month"
"San Francisco, CA",Mindstrong,Data Analyst,
"San Francisco, CA 94104 (Financial District area)",Bailard,Real Estate Research & Performance Analyst,
,"Association For Energy Affordability, Inc.",Energy Analyst,
,"delta computer solutions, inc. www.deltacs.com",Epic Analyst - Whole Person Care,$40 - $70 an hour
"Milpitas, CA 95035",decormatters,Data Engineering Intern,
"San Francisco, CA 94108 (Chinatown area)",Academia.edu,PRODUCT DATA ANALYST,
"San Francisco, CA 94133 (Financial District area)",Veem,Data Analyst,
"San Francisco, CA",FocusKPI Inc.,Product Analyst,
"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,Data Manager/ Evaluator,
"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,Data Systems Analyst,
"Mountain View, CA",TikTok,Data Analyst,
"San Francisco, CA",Avila Trading,Data scientist,
"San Francisco, CA",Ferreira Power Group,Project Controls Analyst,$36 - $52 an hour
"Stanford, CA",Stanford University,Bioinformatician/Research Data Analyst 1,
,GPS CAPITAL MANAGEMENT,Office Manager / Research Analyst,"$50,000 a year"
"San Francisco, CA",Long Term Stock Exchange (LTSE),Financial Data Analyst,
"San Francisco, CA 94107 (Central Waterfront - Dogpatch area)",Good Eggs,Senior Data Analyst,
"San Francisco, CA",Motiv Power Systems,Data Analyst,
"San Ramon, CA 94583","G2 Integrated Solutions, LLC",Business Analyst (Data Analyst/Data Scientist),
"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,Institutional Research Analyst,
"San Mateo, CA",Pill Club,Senior Data Analyst,
"Burlingame, CA 94010",Acumen LLC,Data and Policy Analyst IV (4761836),
"San Francisco, CA","Corus Group, LLC",Data Entry,
"San Francisco, CA 94111 (Financial District area)",First Republic Bank,Loan Data Analyst,
"San Francisco, CA",Dignity Health System Office,"Analyst, Investments",
,Entelligence IT,Sr. Business Analyst - VMware,"$125,000 a year"
,Idemitsu Renewables,Project Finance Analyst,
"San Jose, CA 95131 (North San Jose area)",Zensar Technologies,BI Data Analyst,
"San Francisco, CA 94102 (Tenderloin area)",GLIDE MEMORIAL CHURCH,Data Systems Analyst,$25 an hour
"Brisbane, CA 94005","InfoIMAGE, Inc.",Business Analyst,
"San Francisco, CA",Scaleapi,Business Data Analyst,
"San Francisco, CA 94103 (South of Market area)",Uber,"Data Scientist, Legal Policy & Economics",
"Rancho Cordova, CA 95670",Centene Corporation,Data Support Specialist,
"San Francisco, CA 94104 (Financial District area)",BigCommerce,Data Engineer I,
"Santa Clara, CA 95054",ServiceNow,Data Analyst,
"San Francisco, CA",Facebook,"Analyst - Instagram, Partnerships Science",
"Mountain View, CA 94041",Frequence,Operations Analyst,
"San Mateo, CA",Indian Health Service,Entry Level Program Analyst (Audit Evaluator),"$37,301 - $59,316 a year"
"Oakland, CA",Sutter Health,Enrollment & Student Services Data & Systems Operations Analyst,
"Burlingame, CA 94010",Acumen LLC,Data and Policy Analyst - Statistical Programmer,
"Oakland, CA 94607 (Acorn-Acorn Industrial area)",University of California Office of the President,ITS Data Services Intern (4920),$20 an hour
"Silicon Valley, CA",BrainyPro,Data Analyst – Spotfire,
"Berkeley, CA 94720","Cal Alumni Association, UC Berkeley",Associate Business Analyst,"$55,000 - $60,000 a year"
"Menlo Park, CA",Facebook,Data Analyst – People Data Solutions,
"Livermore, CA 94550","Wiley X, Inc",Data Processing Intern,$13 an hour
"Santa Cruz, CA 95060","Fullpower Technologies, Inc.",Data Science Intern,
"San Francisco, CA",California State University,Operations Analyst,"$50,400 - $55,200 a year"
"San Francisco, CA",Spin,"Senior Analyst, People Analytics & Projects",
"Fremont, CA",Tesla,"Business Analyst, Remarketing",
"San Francisco, CA",Life360,Senior Data Analyst,
"Seaside, CA 93955",Serry Systems,Entry Level Business Analyst,
"San Francisco, CA",Spin Electric Scooters,"Senior Analyst, People Analytics & Projects",
,MUFG,Project Regulatory/Risk Data Analyst,
,MUFG,Sr Data Analyst,
"Phoenix, AZ 85027 (Deer Valley area)",Southwest Service Administrators,Data Analyst - AZ,
"Tempe, AZ",Circle K,Analyst (Global Data and Analytics),
"Phoenix, AZ 85008 (Central City area)","XRF USA International, Inc.",Business Data Analyst,"$28,000 - $40,000 a year"
"Phoenix, AZ 85004 (Central City area)",Gatestone & Co. Inc,Data Analyst,$14.50 an hour
"Phoenix, AZ",State of Arizona,Senior Data Analyst,Up to $29.33 an hour
"Phoenix, AZ",Arizona State University,Data Programmer/Analyst,"$70,000 - $75,000 a year"
"Phoenix, AZ 85012 (Encanto area)",Banner Health,Legal Associate Analyst,
"Phoenix, AZ",US Department of Homeland Security,Management and Program Analyst,"$45,627 - $120,868 a year"
"Phoenix, AZ",TransPerfect Translations Inc.,Language Researcher / Data Analyst,
"Phoenix, AZ 85034 (Central City area)","RevolutionParts, Inc.",Data Analyst,
,MUFG,Data Analyst,
,"Daman, Inc.",Data Engineer,"$100,000 - $130,000 a year"
"Tempe, AZ",Amazon.com Services LLC,Risk Specialist,
"Phoenix, AZ",3Qi Labs,"QA Analyst – Phoenix, AZ","$45,000 a year"
"Phoenix, AZ 85028 (Paradise Valley area)",Pyramid,Purchasing Analyst,$20 - $24 an hour
"Phoenix, AZ 85018 (Camelback East area)",Shamrock Foods,Supply Chain Analyst,
"Phoenix, AZ 85007 (Central City area)",State of Arizona,ASIIS Enhancement Support Analyst,"Up to $60,000 a year"
"Gilbert, AZ",Gilbert Public Schools,Programmer Analyst,
"Scottsdale, AZ",Discount Tire Corporate Careers,Functional Analyst II,
"Phoenix, AZ","Berkeley Research Group, LLC",Health Analytics Data Scientist,
"Phoenix, AZ 85004 (Central City area)",Scientific Technologies Corporation,Business Intelligence Analyst,
"Chandler, AZ 85248",Northrop Grumman,Material Estimating Analyst,
,USAA,Quantitative Risk Analyst - Advanced Level,
,Sonoran Plumbing Supply,Pricing Analyst,"$30,508 - $50,518 a year"
"Glendale, AZ 85301","City of Glendale, AZ",GIS Analyst,"$57,241 - $85,862 a year"
"Tempe, AZ 85284",TransPerfect,Data Breach Notification Review (AZ),$18 an hour
"Phoenix, AZ 85007 (Central City area)",vtech Solutions,Business Analyst,Up to $55 an hour
"Phoenix, AZ 85007 (Central City area)",State of Arizona,OVERSIGHT IT ANALYST,"$65,000 - $75,000 a year"
"Phoenix, AZ",Phoenix Children's Hospital,Scheduling System Analyst,
"Tempe, AZ 85281",State Farm,Analyst - Digital Analytics,
"Phoenix, AZ 85085 (North Gateway area)",COVETRUS INC,Inventory Control Analyst,
"Phoenix, AZ 85004 (Central City area)",Scientific Technologies Corporation,Data Scientist / Data Modeler,
"Phoenix, AZ 85054 (Desert View area)",Sprouts Farmers Market,Enterprise Analytics Analyst,
"Tempe, AZ",Anju Software,Senior Business Analyst,"$100,000 - $110,000 a year"
"Glendale, AZ 85318",CSAA Insurance Group,IT Data Protection Analyst,
"Phoenix, AZ",Desert Financial Credit Union,Incentive Analyst,
"Phoenix, AZ",Desert Financial Credit Union,Data Warehouse Analyst II-ST,
"Tempe, AZ",OPULENTSOFT,Lead Data Engineer/ Data Analyst,
"Tempe, AZ 85281",MUFG,"Network Security System/Data Analyst, Analyst / Officer",
"Phoenix, AZ 85007 (Central City area)",Arizona Supreme Court,Jr. Business Analyst V (Job 2299),"$52,990 a year"
"Tempe, AZ 85281",MUFG,Risk Data and Reporting Specialist,
